Intensity,HKL,G-vector Length
0.0012389779,-10 -5 4,1.5252499307068001
0.0008480997,-10 -3 5,1.4757320387950892
0.00014731138,-10 -2 5,1.4560567900123675
0.00012352262,-10 0 6,1.4577317692056948
4.5654073e-05,-10 2 7,1.4957252504948246
7.3899195e-05,-9 -8 2,1.5386246434602662
0.002496585,-9 -6 3,1.4329739699098187
0.0004499511,-9 -4 4,1.358968205007305
0.00073138473,-9 -3 4,1.3289224395343384
0.0003779827,-9 -1 5,1.3087772423467643
0.0009932,-9 1 6,1.3293203032668617
0.009398754,-9 3 7,1.388747149799415
0.0018097439,-9 6 8,1.5245972858237422
5.6601613e-05,-8 -9 1,1.4916682501633676
0.007145253,-8 -7 2,1.361288087840989
0.0004404959,-8 -4 3,1.2184548154098032
0.009084729,-8 -2 4,1.1719546243599626
0.0004317116,-8 0 5,1.1703224874913158
0.003011971,-8 2 6,1.2137394229004919
0.0040853187,-8 5 7,1.3371043533721334
0.0012709748,-8 7 8,1.4670279917549962
2.6915375e-05,-7 -10 0,1.4681438471649555
0.000856079,-7 -7 1,1.2459521765699573
0.0013961032,-7 -5 2,1.1295544415535892
0.0015961144,-7 -3 3,1.0520081869326228
0.0046611796,-7 -1 4,1.022194107358717
0.0022930647,-7 4 6,1.1506359250488245
0.015831564,-7 6 7,1.2768197184314671
0.0069970107,-7 9 8,1.4966802596793807
0.0016822808,-6 -10 -1,1.3842658478041823
0.0019077002,-6 -8 0,1.2142237245671499
0.0015588638,-6 -6 1,1.067622661810908
0.00021737606,-6 -4 2,0.9553159799398792
0.036731012,-6 -2 3,0.8903767033399805
0.0011111287,-6 3 5,0.9657855996854999
0.007093617,-6 5 6,1.0867519820542253
0.0064267837,-6 8 7,1.307562428366648
0.0018653173,-6 10 8,1.4895710673969274
0.0046000523,-5 -11 -2,1.4031449291372373
0.021236824,-5 -9 -1,1.212000615777357
0.0020790095,-5 -7 0,1.0375002997260478
0.040426813,-5 -5 1,0.889494142771262
0.00074431417,-5 2 4,0.7836991957680325
9.689788e-05,-4 -12 -3,1.4471016755123731
0.0010724152,-4 -10 -2,1.239441626026949
0.03146734,-4 -8 -1,1.041949810783482
0.0019069628,-4 -1 2,0.5859773121799813
0.06411314,-4 1 3,0.6068697114502459
0.0009304335,-3 -13 -4,1.5139533145769575
0.05480127,-3 -2 1,0.4776579899699396
0.031935047,-3 5 4,0.7447855336984637
0.0210337,-2 -5 -1,0.6197208130134745
0.0025851629,-2 -3 0,0.4308232963933522
0.026215527,-2 4 3,0.5612739482029306
0.007567333,-1 -10 -4,1.1432877525704381
0.0007986544,-1 -8 -3,0.9143199870808806
0.343427,-1 -6 -2,0.6871584760296544
0.7089331,-1 8 4,0.930829725780187
0.03169492,-1 13 6,1.4905969524328706
0.002067918,0 -13 -6,1.4901052157797248
0.0041314494,0 7 3,0.7956025820831503
0.0018947611,0 12 5,1.3598925239292805
0.00022756887,1 11 4,1.2447489268989145
0.21696684,2 -6 -4,0.769454900554335
0.0014868327,2 3 0,0.4308232963933522
0.0055923103,2 8 2,0.9289221332038745
0.00038698086,2 13 4,1.4755305741338383
0.1497321,3 0 -2,0.441657193131293
0.00078834174,3 7 1,0.8754048686397369
0.00026288204,3 12 3,1.3933831998058117
0.009012108,4 -3 -4,0.7074912450112234
0.057498436,4 -1 -3,0.6068697114502459
0.014075575,4 4 -1,0.7117175509539838
0.015119195,4 6 0,0.8616465927867044
0.0042303503,4 9 1,1.1321658124157716
0.0011974293,4 11 2,1.3336066961961066
0.0057088006,5 -10 -8,1.4210052865291203
0.0072670495,5 -8 -7,1.2275955186505652
0.020344945,5 -6 -6,1.0497890594228874
0.034569334,5 1 -3,0.7367363725426207
0.021304334,5 3 -2,0.7831502837405618
0.00041128736,5 8 0,1.1177973131141796
0.03419414,5 10 1,1.2992923886168846
0.0017560836,6 -2 -5,0.9354408131528807
0.011115884,6 0 -4,0.883314386262586
0.042616896,6 2 -3,0.8903767033399805
0.0022501184,6 5 -2,1.0081990221503916
0.001377396,6 7 -1,1.1356962850816053
0.00018346467,6 9 0,1.2924698891800568
0.12857538,6 10 0,1.3746609619678805
0.004495632,7 -7 -8,1.3677846512369314
0.007494283,7 -5 -7,1.2261113200645881
0.0047751926,7 -3 -6,1.1149863967903446
0.004359076,7 -1 -5,1.0442087624945033
0.0011424015,7 2 -4,1.0389851420103529
0.0014392514,7 4 -3,1.0897163918984096
0.00068152824,7 6 -2,1.1844007273856687
0.00030597916,7 9 -1,1.3862172335823746
0.011905534,7 11 0,1.548462431495002
0.00025923573,8 -6 -8,1.4149824900224468
0.0022434164,8 -4 -7,1.2976916534691794
0.00050738774,8 -1 -6,1.19939376535193
0.0010862523,8 1 -5,1.1752395498746455
0.015157363,8 3 -4,1.1963119048224151
0.004099658,8 5 -3,1.260344368200972
0.00060278305,8 6 -3,1.3097247422655043
4.4986802e-05,8 8 -2,1.4234351019079676
0.0009691301,9 -4 -8,1.4469385285510334
0.00012648654,9 -2 -7,1.367817460921073
0.00045734984,9 0 -6,1.3249715793938788
0.009903519,9 2 -5,1.3219328064649294
0.02413249,9 3 -5,1.3435735946786291
9.008154e-05,9 5 -4,1.396649382962532
0.00057223253,9 7 -3,1.4843855874897822
6.864986e-05,10 -3 -8,1.5414174064077273
0.0013838189,10 -1 -7,1.4841075382714433
0.00071871426,10 0 -7,1.4802133393961852
9.8372126e-05,10 2 -6,1.4734727450852414
2.5311481e-05,10 4 -5,1.502845271376087
