hkl,_refln_intensity_meas,_refln_intensity_sigma,G-vector Length,Intensity,orientation
3 2 -7,0.0001326590835800603,6.925325499691941e-05,1.2831638704107586,1.9148109e-05,1
4 2 -7,0.0152666205698465,0.00033428961847444823,1.3223806217173872,0.0002198224,1
0 1 -6,4.708469863303609e-05,4.4924203733166106e-05,1.1707474940409694,2.0280288e-07,1
1 1 -6,0.008469069556569694,0.00026066840639735693,1.109675527087181,0.0007740066,1
3 2 -6,-1.2822067557924043e-05,4.339776711912753e-05,1.1164441256522617,4.4537674e-06,1
4 2 -6,0.0002432905126375331,0.00011121852006287229,1.1744794225469062,0.0004038174,1
-2 0 -5,0.00011758258656140235,0.0001035863369926794,1.1983782493266295,0.00011592445,1
1 1 -5,0.008593133627830707,0.0002623122612124754,0.9195223082499367,3.7058226e-06,1
4 2 -5,0.00011652582275168332,8.169958431138781e-05,1.0420483531441311,8.706247e-06,1
5 2 -5,0.0001284789956216162,0.00011286237487799076,1.1577279871855035,0.0011729228,1
-4 -1 -4,0.007496799884347769,0.000327033173647711,1.3533115623359684,0.0001542145,1
-2 0 -4,0.0010822905266337827,0.00015099980658873918,1.0167015408038218,8.6519125e-05,1
-1 0 -4,0.0032946607877408635,0.0002761206416594705,0.8800432305700984,3.9932415e-06,1
1 1 -4,0.00017925062576856085,0.00010086223472762595,0.7317200464208987,0.000194667,1
4 2 -4,-4.630973850590881e-05,6.129230096370285e-05,0.9317076137965756,3.277196e-05,1
5 2 -4,0.0017363803575694207,0.00015102329022895517,1.073928227371474,6.2472776e-05,1
-7 -2 -3,0.0003508221011864968,0.00017922714212834486,1.799670720071539,1.1957173e-06,1
-6 -2 -3,0.0003046297808816679,0.0001514225121126268,,,1
-4 -1 -3,0.2987425731813635,0.0015889970315739422,1.2013439607136176,0.0015843213,1
-1 0 -3,0.009572330973916346,0.00036326843050096526,0.6917893980210452,0.000666391,1
2 1 -3,0.01899403787948741,0.00040412996447676715,0.5872397112734531,0.0011156222,1
5 2 -3,0.0005126713495550179,0.00011363733500511803,1.0208139075216924,0.00025922043,1
-6 -2 -2,0.0006930257064137297,0.00016018190991318662,1.4773806630149229,1.5732558e-05,1
-4 -1 -2,0.2252295502347472,0.001306160068812702,1.0633691222457868,0.005572188,1
-1 0 -2,0.0006382853410702848,0.0002763319944214143,0.5083507704019109,0.0011419181,1
2 1 -2,0.011418004193050927,0.00034039536493060256,0.4658538068982877,1.5597494e-05,1
5 2 -2,8.496381030140877e-05,5.4458561660853216e-05,1.00327049246253,1.2064592e-06,1
-6 -2 -1,0.01589997434647143,0.00037346033035469975,1.3727285726720555,0.0008243052,1
-3 -1 -1,0.00023368570378919809,0.00022948213219053799,,,1
3 1 -1,0.1518070332375232,0.0010426971092296435,0.6008499755847527,0.008659073,1
-6 -2 0,0.0005299083414735459,0.00016680429645409245,1.289133544681054,2.5949063e-05,1
-5 -2 0,0.0010083640272338836,0.00013406810199301897,1.0783261698549766,1.0083391e-07,1
-3 -1 0,0.18552545443427018,0.001158025266330312,0.6445667723405271,0.1303921,1
3 1 0,0.009224937484201381,0.0003003557583623599,0.6445667723405271,0.0008892484,1
4 1 0,0.4133164827255752,0.0016932878777731009,0.856190048754747,6.992794e-06,1
-7 -3 1,-4.856416796664271e-05,5.471688170322898e-05,,,1
-5 -2 1,0.00010802474499349926,0.00012836157742053628,1.0231294049699382,0.00016315783,1
4 1 1,0.005602069340802008,0.0002934515681388623,0.9455326114737131,0.00069243694,1
-7 -3 2,0.00013975114292528567,9.649427764745402e-05,1.417039963183787,2.0695732e-05,1
-5 -2 2,0.006054810440525849,0.0002632985741015465,1.00327049246253,0.0016666082,1
-2 -1 2,0.09054246645291546,0.0008232659750515443,0.4658538068982877,6.764031e-05,1
1 0 2,0.007022430351985011,0.0004338132857097634,0.5083507704019109,0.014514752,1
4 1 2,0.0011096724511256131,0.00021572071902397483,,,1
5 1 2,0.008905137271740192,0.0003102188872530707,1.2651629528969788,0.023205016,1
-7 -3 3,7.97739258136776e-05,0.00010696798118378024,1.407822322443046,0.00035532552,1
-4 -2 3,0.00021642522823045416,0.0001234300129751809,0.8520826461878289,3.9964292e-05,1
2 0 3,0.0004828706101209417,0.00018223304807599004,0.8408359344714071,0.0002828366,1
5 1 3,0.00023617496965209174,0.0001843465756954281,,,1
6 1 3,0.0039470128293005195,0.000236973413419435,1.5922570326657668,0.0002654954,1
-7 -3 4,0.0024069791875768916,0.00017330926479391836,1.4253689265905105,0.003860178,1
