# h  k  l  lp
  -7    2   -5  0.022851
  -7    2   -4  0.022688
  -7    2   -3  0.022557
  -7    2   -2  0.022459
  -7    2   -1  0.022394
  -7    2    0  0.022362
  -7    2    1  0.022364
  -7    2    2  0.022400
  -7    2    3  0.022469
  -7    2    4  0.022571
  -7    2    5  0.022706
  -7    1   -7  0.023786
  -7    1   -6  0.023569
  -7    1   -5  0.023382
  -7    1   -4  0.023227
  -7    1   -3  0.023102
  -7    1   -2  0.023010
  -7    1   -1  0.022950
  -7    1    0  0.022923
  -7    1    1  0.022928
  -7    1    2  0.022967
  -7    1    3  0.023038
  -7    1    4  0.023141
  -7    1    5  0.023276
  -7    1    6  0.023443
  -7    1    7  0.023640
  -7    0   -8  0.024541
  -7    0   -7  0.024303
  -7    0   -6  0.024095
  -7    0   -5  0.023915
  -7    0   -4  0.023766
  -7    0   -3  0.023648
  -7    0   -2  0.023562
  -7    0   -1  0.023507
  -7    0    0  0.023484
  -7    0    1  0.023493
  -7    0    2  0.023534
  -7    0    3  0.023607
  -7    0    4  0.023711
  -7    0    5  0.023846
  -7    0    6  0.024013
  -7    0    7  0.024209
  -7    0    8  0.024434
  -7   -1   -7  0.024823
  -7   -1   -6  0.024622
  -7   -1   -5  0.024450
  -7   -1   -4  0.024308
  -7   -1   -3  0.024196
  -7   -1   -2  0.024114
  -7   -1   -1  0.024064
  -7   -1    0  0.024045
  -7   -1    1  0.024058
  -7   -1    2  0.024101
  -7   -1    3  0.024176
  -7   -1    4  0.024281
  -7   -1    5  0.024417
  -7   -1    6  0.024582
  -7   -1    7  0.024777
  -7   -2   -5  0.024986
  -7   -2   -4  0.024850
  -7   -2   -3  0.024744
  -7   -2   -2  0.024668
  -7   -2   -1  0.024622
  -7   -2    0  0.024607
  -7   -2    1  0.024622
  -7   -2    2  0.024668
  -7   -2    3  0.024745
  -7   -2    4  0.024851
  -7   -2    5  0.024987
  -6    5   -6  0.018278
  -6    5   -5  0.018019
  -6    5   -4  0.017799
  -6    5   -3  0.017619
  -6    5   -2  0.017480
  -6    5   -1  0.017383
  -6    5    0  0.017329
  -6    5    1  0.017318
  -6    5    2  0.017351
  -6    5    3  0.017427
  -6    5    4  0.017546
  -6    5    5  0.017706
  -6    5    6  0.017907
  -6    4  -11  0.020530
  -6    4  -10  0.020117
  -6    4   -9  0.019735
  -6    4   -8  0.019384
  -6    4   -7  0.019066
  -6    4   -6  0.018782
  -6    4   -5  0.018535
  -6    4   -4  0.018325
  -6    4   -3  0.018155
  -6    4   -2  0.018025
  -6    4   -1  0.017936
  -6    4    0  0.017888
  -6    4    1  0.017882
  -6    4    2  0.017919
  -6    4    3  0.017997
  -6    4    4  0.018117
  -6    4    5  0.018277
  -6    4    6  0.018476
  -6    4    7  0.018714
  -6    4    8  0.018988
  -6    4    9  0.019297
  -6    4   10  0.019640
  -6    4   11  0.020014
  -6    3  -12  0.021402
  -6    3  -11  0.020975
  -6    3  -10  0.020576
  -6    3   -9  0.020206
  -6    3   -8  0.019868
  -6    3   -7  0.019562
  -6    3   -6  0.019290
  -6    3   -5  0.019054
  -6    3   -4  0.018854
  -6    3   -3  0.018693
  -6    3   -2  0.018571
  -6    3   -1  0.018489
  -6    3    0  0.018448
  -6    3    1  0.018447
  -6    3    2  0.018487
  -6    3    3  0.018567
  -6    3    4  0.018688
  -6    3    5  0.018847
  -6    3    6  0.019045
  -6    3    7  0.019280
  -6    3    8  0.019550
  -6    3    9  0.019855
  -6    3   10  0.020192
  -6    3   11  0.020561
  -6    3   12  0.020959
  -6    3   13  0.021384
  -6    2  -13  0.022281
  -6    2  -12  0.021841
