# h  k  l  lp
  10    2   -1  0.035659
  10    2   -2  0.035589
  10    1    0  0.035311
  10    1   -1  0.035083
  10    1   -2  0.034959
  10    1   -3  0.034939
  10    0    1  0.035209
  10    0    0  0.034822
  10    0   -1  0.034537
  10    0   -2  0.034357
  10    0   -3  0.034282
  10   -1    0  0.034367
  10   -1   -1  0.034023
  10   -1   -2  0.033785
  10   -1   -3  0.033654
  10   -2   -1  0.033542
  10   -2   -2  0.033244
   9    6    1  0.034809
   9    6    0  0.034775
   9    6   -1  0.034847
   9    6   -2  0.035023
   9    6   -3  0.035303
   9    5    3  0.034711
   9    5    2  0.034411
   9    5    1  0.034215
   9    5    0  0.034126
   9    5   -1  0.034145
   9    5   -2  0.034270
   9    5   -3  0.034502
   9    5   -4  0.034838
   9    5   -5  0.035274
   9    5   -6  0.035808
   9    4    4  0.034727
   9    4    3  0.034265
   9    4    2  0.033906
   9    4    1  0.033652
   9    4    0  0.033506
   9    4   -1  0.033469
   9    4   -2  0.033541
   9    4   -3  0.033723
   9    4   -4  0.034011
   9    4   -5  0.034404
   9    4   -6  0.034897
   9    4   -7  0.035488
   9    3    5  0.034994
   9    3    4  0.034376
   9    3    3  0.033854
   9    3    2  0.033435
   9    3    1  0.033121
   9    3    0  0.032915
   9    3   -1  0.032821
   9    3   -2  0.032838
   9    3   -3  0.032966
   9    3   -4  0.033205
   9    3   -5  0.033552
   9    3   -6  0.034003
   9    3   -7  0.034554
   9    3   -8  0.035202
   9    2    6  0.035508
   9    2    5  0.034739
   9    2    4  0.034061
   9    2    3  0.033479
   9    2    2  0.032998
   9    2    1  0.032623
   9    2    0  0.032357
   9    2   -1  0.032202
   9    2   -2  0.032162
   9    2   -3  0.032235
   9    2   -4  0.032422
   9    2   -5  0.032719
   9    2   -6  0.033125
   9    2   -7  0.033636
   9    2   -8  0.034246
   9    1    6  0.035348
   9    1    5  0.034522
   9    1    4  0.033784
   9    1    3  0.033141
   9    1    2  0.032598
   9    1    1  0.032160
   9    1    0  0.031831
   9    1   -1  0.031615
   9    1   -2  0.031515
   9    1   -3  0.031530
   9    1   -4  0.031662
   9    1   -5  0.031908
   9    1   -6  0.032267
   9    1   -7  0.032734
   9    1   -8  0.033304
   9    1   -9  0.033973
   9    0    6  0.035227
   9    0    5  0.034344
   9    0    4  0.033547
   9    0    3  0.032842
   9    0    2  0.032236
   9    0    1  0.031734
   9    0    0  0.031341
   9    0   -1  0.031062
   9    0   -2  0.030899
   9    0   -3  0.030854
   9    0   -4  0.030928
   9    0   -5  0.031121
   9    0   -6  0.031429
   9    0   -7  0.031849
   9    0   -8  0.032377
   9    0   -9  0.033009
